id,score,word,explain
31,0,サイバー空間,インターネットを含む仮想的な情報空間。デジタルコミュニケーションやオンライン交流が行われる場。
32,0,サイバー犯罪,コンピュータやネットワークを利用した犯罪行為。ハッキングやフィッシングなどが含まれる。
33,0,産業財産権,発明やデザイン、商標などの創造的な成果を保護する権利。特許権、実用新案権、意匠権、商標権がある。
34,0,サンプリング,アナログ信号から一定間隔でデータを取り出し、デジタル信号に変換するプロセス。
35,0,サンプリング周波数,サンプリング時に一秒間に何回データを取り出すかを表す数値。オーディオではCDの品質で44.1kHzが標準。
36,0,シグニファイア,意味を持つ記号やサイン。言語学では言葉や記号が指し示す対象との関係を指す。
37,0,シフトJISコード,日本語の文字を表すためのコンピュータのエンコーディング方式の一つ。
38,0,シミュレーション,実世界の状況をモデル化し、コンピュータ上で再現することによって、現象を分析・予測する技術。
39,0,集積回路,複数の電子部品を一つのチップ上に集積した電子回路。コンピュータのCPUなどに用いられる。
40,0,周辺装置,コンピュータ本体とは別に接続される装置。プリンター、スキャナー、マウス、キーボードなどがある。
41,0,住民基本台帳ネットワーク,日本の住民の基本的な情報を管理するための全国ネットワークシステム。行政サービスの効率化を目的としている。
42,0,主記憶装置,コンピュータで処理中のデータやプログラムを一時的に保持する記憶装置。RAM（ランダムアクセスメモリ）がこれに該当する。
43,0,出力装置,コンピュータが処理した結果を外部に出力する装置。プリンターやモニターなどがある。
44,0,肖像権,個人の肖像を無断で公開・利用されることから保護する権利。プライバシー権の一部とされる。
45,0,状態遷移図,システムやプロセスの状態の変化を図式化したもの。ソフトウェア開発での振る舞いを示す際に使用される。
46,0,情報,データや知識が加工・整理され、意味を持ったもの。コミュニケーションや意思決定に利用される。
47,0,情報格差,情報へのアクセス能力や利用技術による社会的な不平等。デジタルデバイドとも呼ばれる。
48,0,情報セキュリティ,情報の機密性・完全性・可用性を保護するための対策や管理のこと。
49,0,情報セキュリティポリシー,組織における情報セキュリティの基本的な方針やルール。適切な情報管理を行うための指針。
50,0,情報操作,情報を意図的に変更することで、認識や意思決定を誤らせる行為。偏向や捏造がこれにあたる。
51,0,情報モラル,情報を扱う際の倫理観。適切な情報の使用や安全な取り扱いを心がけること。
52,0,人工知能,コンピュータによる知的な問題解決や学習、理解を実現する技術。機械学習やディープラーニングが含まれる。
53,0,ステルスマーケティング,消費者に気づかれないように商品やサービスを宣伝する手法。広告であることを隠して行う。
54,0,ステレオグラム,二つの異なる画像を立体的に見せるための画像。立体視を楽しむために用いられる。
55,0,ストリーミング,インターネットを通じて音楽や動画などのメディアコンテンツをリアルタイムで配信する技術。
56,0,ストレージ,コンピュータでデータを永続的に保存するための記憶装置。HDDやSSDなどがこれに該当する。
57,0,スパムメール,不特定多数の受信者に無差別に送られる迷惑メール。広告が主な内容であることが多い。
58,0,スペック,製品や機器の性能や仕様のこと。コンピュータの処理能力やメモリ容量などを指す。
59,0,正規化,データベースにおいてデータの冗長性を排除し、効率的な構造を作るためのプロセス。
60,0,制御システム,機械や装置などを自動で制御するためのシステム。プログラムされた指示に従って動作する。
61,0,青少年インターネット環境整備法,青少年が安全にインターネットを利用できる環境を整備するための日本の法律。
62,0,生体認証,指紋や虹彩などの個人の生体情報を利用した識別システム。セキュリティ分野で広く利用されている。
63,0,セキュリティアップデート,ソフトウェアのセキュリティを向上させるために行われるアップデート。脆弱性の修正などを含む。
64,0,セル,表計算ソフトウェアにおける一つ一つのデータ入力欄。行と列によって位置が決定される。
65,0,全数調査,対象の全てについて調査を行うこと。対象の一部を抽出する標本調査とは対照的である。
66,0,ソーシャルエンジニアリング,人の心理や行動の特性を利用して情報を得ようとする手法。セキュリティの脅威の一種。
67,0,ソーシャルメディア,ユーザーがコンテンツを共有したり交流したりできるオンラインプラットフォーム。FacebookやTwitterなどが該当する。
68,0,ソースコード,プログラムを構成する指示や命令が書かれた原始的なコード。プログラミング言語で書かれる。
69,0,ソフトウェア,コンピュータ上で実行されるプログラムや命令の集合。対義語はハードウェア。
70,0,タイムライン,特定の順序で表示される一連のイベントやアクティビティ。ソーシャルメディアの投稿表示方式の一つ。
71,0,タグ,情報の分類や識別を助けるためのラベルやキーワード。HTMLの構成要素やソーシャルメディアの機能に用いられる。
72,0,タスク,実行するべき仕事や作業の単位。コンピュータではプログラムの実行単位を指すこともある。
73,0,単純化,複雑なものをより理解しやすくするために簡素化すること。情報の伝達を明確にするために用いられる。
74,0,チェックディジット,データの入力ミスなどを検出するために使用される数字。バーコードやクレジットカード番号に含まれる。
75,0,地上デジタル放送,アナログ信号ではなくデジタル信号を用いて地上波で送信されるテレビ放送。
76,0,知的財産権,創作活動から生まれる作品や発明に対する法的権利。著作権や特許権がこれに含まれる。
77,0,チャット,インターネット上でリアルタイムにテキストメッセージを交換すること。コミュニケーションツールとして広く利用される。
78,0,著作権,創作物の作者がその作品に対して持つ排他的な権利。コピー、公開、演じる、改変するなどの権利を含む。
79,0,著作権（財産権）,著作権の中で経済的な利益に関連する権利。複製権、上映権、翻訳権などが含まれる。
80,0,著作権法,著作権に関する規則や作者の権利を保護するための法律。多くの国において制定されている。
81,0,著作者人格権,著作者の名誉や表現の自由を保護するための権利。改変禁止や公表権などが含まれる。
82,0,著作物,文学、音楽、絵画、彫刻、映画など創造的活動によって生み出された表現物。
83,0,ツイッター,140文字以内の短文を投稿・共有するソーシャルネットワーキングサービス。
84,0,ディスプレイ,コンピュータの情報を視覚的に表示する装置。モニターや液晶ディスプレイがこれにあたる。
85,0,データベース,関連するデータの集まりを体系的に整理し、保存したもの。情報の検索や管理に利用される。
86,0,データベース管理システム,DBMSとも呼ばれ、データベースの構築・運用を支援するソフトウェア。
87,0,データマイニング,大量のデータから有用な情報や知識を発見するための技術。統計学や機械学習が応用される。
88,0,テクノストレス,テクノロジーの使用に関連するストレス。操作の複雑さや情報過多が原因となることがある。
89,0,デジタル署名,電子文書やメッセージが改ざんされていないことを保証するための暗号技術。電子署名法に基づいている。
90,0,デジタルデータ,数字で表された情報。コンピュータが処理しやすい形式である。
91,0,デジタルデバイド,情報通信技術に対するアクセス格差。特定の層が情報を得る機会に恵まれない状況を指す。
92,0,デバイス,一般に、特定の機能を果たすための機器や装置のこと。コンピュータの入出力装置などがこれに該当する。
93,0,テレビ会議,遠隔地にいる人々がビデオ通信を通じて会議を行うシステム。
94,0,テレワーク,情報通信技術を利用して職場以外の場所で仕事をすること。在宅勤務などが含まれる。
95,0,電子掲示板,インターネット上でメッセージを公開し、情報交換を行うプラットフォーム。
96,0,電子商取引,インターネットを介して商品やサービスの売買が行われる商取引。
97,0,電子透かし,画像や音声などのデジタルコンテンツに目に見えない形で情報を埋め込む技術。著作権保護などに利用される。
98,0,電子マネー,電子的な形式で価値が格納され、決済に利用される通貨。プリペイドカードやスマートフォンの決済システムなどがある。
99,0,電子メール,インターネットを通じてメッセージを送受信する通信手段。
100,0,電子メールアドレス,電子メールを送受信するためのユニークな識別子。通常はユーザー名とドメイン名で構成される。
101,0,動画編集ソフトウェア,動画のカット、結合、エフェクト追加などの編集作業を行うためのソフトウェア。
102,0,特定商取引に関する法律,消費者保護を目的として、通信販売など特定商取引に関する規制を定めた日本の法律。
103,0,特許権,発明を保護するために国が発明者に与える権利。一定期間、他人が無断でその発明を利用することを禁止する。
104,0,ドット,画像を構成する最小単位の点。解像度の指標の一つとしても用いられる。
105,0,ドメイン名,インターネット上の住所として機能する名前。ウェブサイトや電子メールの識別に使用される。
106,0,トリミング,画像の一部を切り取って不要な部分を除去すること。写真や動画編集において行われる。
107,0,ドロー系ソフトウェア,ベクトルベースで画像を作成するためのソフトウェア。図形やイラストの作成に適している。
108,0,ナビゲーションシステム,地図情報とGPSを利用して最適なルートを案内するシステム。自動車やスマートフォンに搭載されていることが多い。
109,0,二次情報,元の情報をもとに加工や分析を行った情報。レポートや解説記事などがこれにあたる。
110,0,入力装置,コンピュータに情報を入力するための装置。キーボードやマウス、タッチパネルなどが含まれる。
111,0,認証,本人であることを証明するプロセス。パスワードや生体認証などによって行われる。
112,0,認証サーバ,ネットワーク上でユーザーの認証を行うサーバ。セキュリティの一環として設置される。
113,0,ネット依存,インターネットの過度な使用によって生活に支障をきたす状態。心理的依存が問題となる。
114,0,ネットショッピング,インターネットを通じて商品を購入する活動。オンラインストアやオークションサイトが利用される。
115,0,ノイマン型コンピュータ,プログラム内蔵方式を採用したコンピュータのアーキテクチャ。現代のコンピュータ設計の基本となっている。
116,0,バーコード,商品情報などを縦線の太さや間隔で表したコード。読み取り装置によってデジタル情報に変換される。
117,0,パーソナルコンピュータ,個人で使用することを目的としたコンピュータ。一般的な家庭やオフィスで用いられる。
118,0,バーチャルリアリティ,コンピュータ生成による仮想現実。専用のヘッドセットなどを使って体験する。
119,0,ハードウェア,コンピュータを構成する物理的な機器。CPUやメモリ、マザーボードなどが含まれる。
120,0,ハードディスク,コンピュータのデータを長期保存するための磁気記憶装置。大量のデータを保持することができる。
121,0,IC,集積回路の略で、多数の電子部品を一つの基盤に集約したもの。コンピュータや電子機器の基本的な構成要素。
122,0,ICカード,集積回路が埋め込まれたカードで、情報の読み書きが可能。クレジットカードや交通系カードなどに利用される。
123,0,ICタグ,無線で情報を読み取り可能な小型チップ。在庫管理や商品管理に利用されるRFID技術の一種。
124,0,ID,識別子の略で、個人や物などを識別するための一意の文字や数字の列。
125,0,IMAP,インターネットメッセージアクセスプロトコルの略で、電子メールの受信プロトコルの一つ。サーバー上でメールを管理する。
126,0,IoT,モノのインターネットの略で、日常のさまざまな物にセンサーや通信機能を持たせ、インターネットを通じてデータを交換すること。
127,0,IPアドレス,インターネットプロトコルアドレスの略で、インターネット上の機器を識別するための番号。
128,0,ISP,インターネットサービスプロバイダの略で、インターネット接続サービスを提供する事業者。
129,0,JIS,日本工業規格の略で、製品やサービスに関する日本国内の標準規格。
130,0,KJ法,問題解決のための情報を整理し、構造化する手法。発散思考と収束思考を交互に行う。
131,0,LAN,ローカルエリアネットワークの略で、限られた範囲内でコンピュータや機器をネットワーク接続するシステム。
132,0,MIDI,楽器のデジタルインターフェース規格。電子楽器やコンピュータが音楽情報をやり取りするための規格。
133,0,MPEG,動画や音声の圧縮技術の標準規格。高い圧縮率でメディアデータを扱う。
134,0,NOT検索,指定したキーワードを除外して検索結果を返す検索方式。
135,0,OCR,光学文字認識の略で、印刷や手書きの文字をスキャンしてデジタルデータに変換する技術。
136,0,OR検索,複数の検索語のいずれかを含む検索結果を返す検索方式。
137,0,OS,オペレーティングシステムの略で、コンピュータの基本的なソフトウェア。ハードウェアとアプリケーションの仲介を行う。
138,0,PDCAサイクル,計画（Plan）、実行（Do）、評価（Check）、行動（Action）のサイクルで、業務の改善や品質管理に用いられる。
139,0,POP,郵便局プロトコルの略で、電子メールの受信プロトコルの一つ。サーバーからメールをダウンロードする。
140,0,POSシステム,販売時点情報管理システムの略で、小売店での販売情報をリアルタイムで管理するシステム。
141,0,バイト,データを測定する単位で、通常8ビットからなる。コンピュータのメモリ容量などを表すのに使われる。
142,0,ハイパーテキスト,テキストにリンクを含めて他の文書や情報にジャンプできるようにしたもの。Webの基本的な概念。
143,0,ハイパーリンク,ハイパーテキストにおいて、クリックすることで他の文書に移動するためのリンク。
144,0,配列,プログラミングにおいて、同じ型の複数の要素を一定の順序で格納するデータ構造。
145,0,パケット,ネットワークを通じて送受信されるデータの単位。小さなブロックに分割された情報。
146,0,パケット交換方式,データをパケットとして分割し、各パケットを独立して送信する通信方式。インターネットで採用されている。
147,0,バス,コンピュータ内の部品がデータをやり取りするための通路。電気信号が伝わる経路。
148,0,パスワード,認証に使われる秘密の文字列。安全なアクセスのために使用される。
149,0,発想法,新しいアイデアや解決策を生み出すための方法。ブレインストーミングなどがこれに該当する。
150,0,ハブ,ネットワークにおける中心的な接続装置。複数のデバイスを接続し、データを中継する。
151,0,パブリシティ権,個人の名声や顔写真を無断で商業利用されない権利。肖像権とも関連が深い。
152,0,バリアフリー,障害がある人もない人も使いやすいように、環境や製品を設計する考え方。情報アクセスにおいても用いられる。
153,0,パリティチェック,データ転送の誤りを検出するためのエラーチェック手法。追加のビットを使用して行われる。
154,0,非可逆圧縮,データを元に戻すことができない圧縮方法。JPEG画像などがこの方法で圧縮される。
155,0,引数,関数やプロシージャに渡される値や変数。プログラム内での操作や計算に用いられる。
156,0,ピクセル,デジタル画像を構成する最小の単位。色と位置の情報を持つ。
157,0,ピクトグラム,情報を伝えるための図記号や絵文字。国際的な理解を助けるために使用される。
158,0,非接触型ICカード,カードに触れることなくデータの読み書きが可能なICカード。交通系カードなどに利用される。
159,0,ビット,デジタルデータの最小単位。0または1の値を取る。
160,0,ビットマップデータ,ピクセルの集合として画像を格納するデータ形式。各ピクセルが個別に色情報を持つ。
161,0,表計算ソフトウェア,数値データの操作、分析、グラフィカル表示を行うためのソフトウェア。例：Microsoft Excel。
162,0,標本化,連続的な信号から一定間隔でデータを抽出すること。デジタル信号処理において重要なステップ。
163,0,標本化周波数,標本化する際の単位時間当たりのサンプル数。単位はヘルツ(Hz)。
164,0,標本調査,母集団からランダムに選ばれた標本を用いて調査を行い、全体を推定する手法。
165,0,平文,暗号化される前または暗号化から解除された後の読み取り可能なテキスト。
166,0,ファイアウォール,不正アクセスを防ぐためにネットワークに設置されるセキュリティシステム。
167,0,ファイル,データを記憶媒体に保存するための単位。文書、画像、プログラムなどが該当する。
168,0,ファイル交換ソフトウェア,インターネットを介してファイルを他のユーザーと共有するためのソフトウェア。
169,0,ファクトリオートメーション,製造工程を自動化するためのシステムや技術。
170,0,フィードバック,あるプロセスの出力がそのプロセスの入力に影響を及ぼすこと。良い結果を得るために使われる。
171,0,フィッシング,詐欺的な手段で個人情報を騙し取る行為。偽のウェブサイトなどが用いられる。
172,0,フィルタリング,不適切または望ましくない情報を選別して除外すること。コンテンツフィルタリングが例。
173,0,フェイクニュース,事実でない情報をニュースとして流布すること。誤情報の拡散に関連する。
174,0,フォント,印刷や表示に用いる文字のスタイルやデザイン。書体とも呼ばれる。
175,0,符号化,情報を特定の規則やコードに変換すること。データ圧縮や暗号化に関連する。
176,0,不正アクセス禁止法,コンピュータシステムへの不正アクセスを禁じる法律。セキュリティ侵害に対する法的な措置。
177,0,プライバシー権,個人の私生活に対する干渉を受けない権利。個人情報保護に関連する。
178,0,フルカラー,すべての色を再現可能な印刷または表示方式。通常、CMYKまたはRGBカラーモデルが用いられる。
179,0,フレーム,映像やアニメーションにおいて、連続する画像の一つ一つ。フィルムの1コマに相当する。
180,0,フレームレート,1秒間に表示されるフレーム数。動画の滑らかさを表す指標で、単位はfps（frames per second）。
181,0,ブレーンストーミング,複数の人が集まって自由にアイデアを出し合う創造的な会議手法。
182,0,ブレーンライティング,ブレーンストーミングに似ているが、アイデアを書面に記述して共有する手法。
183,0,プレゼンテーション,聴衆に情報を伝え、理解を求めるための口頭または視覚的な展示。
184,0,プレゼンテーションソフトウェア,情報をスライド形式で視覚的に表示し、プレゼンテーションを支援するソフトウェア。
185,0,プロキシサーバ,クライアントとインターネットの間に位置し、リクエストの中継や応答のキャッシュなどを行うサーバ。
186,0,ブログ,個人やグループが情報を投稿し、公開するウェブサイト。日記形式で更新されることが多い。
187,0,プログラミング,コンピュータに特定の作業をさせるための命令や手順を作成する過程。
188,0,プログラミング言語,プログラムを作成するための形式言語。Python、Java、C++などがある。
189,0,プログラム,コンピュータが実行する一連の命令のこと。ソフトウェアの一部とも言える。
190,0,プログラムカウンタ,コンピュータがプログラムのどの部分を実行しているかを追跡するレジスタ。
191,0,プロジェクタ,画像や動画を大画面に投影するための装置。プレゼンテーションなどで利用される。
192,0,プロトコル,ネットワーク上でデータのやり取りをする際の規約やルール。HTTP、FTPなどがある。
193,0,プロバイダ責任制限法,インターネットサービスプロバイダー(ISP)の責任の範囲を定めた法律。
194,0,分散情報システム,複数のコンピュータがネットワークを通じて連携して情報を処理するシステム。
195,0,文書処理ソフトウェア,文書を作成、編集、印刷するためのソフトウェア。ワープロソフトが該当する。
196,0,ペイント系ソフトウェア,ビットマップ画像の作成や編集を行うソフトウェア。イラストや写真の編集に使われる。
197,0,ベクトルデータ,図形を数学的な形式で表現したデータ。スケールを変えても画質が変わらない。
198,0,変数,プログラム内で値が変化するデータを格納するための領域。計算やデータ保持に使われる。
199,0,補助記憶装置,データを長期間保存するための装置。ハードディスクやSSDなどがこれにあたる。
200,0,マインドマップ,中心の概念から枝分かれするようにアイデアを視覚的に展開していく思考ツール。
201,0,マスメディア,情報を大衆に伝達するための媒体。テレビ、ラジオ、新聞などが含まれる。
202,0,マルチメディア,テキスト、画像、音声、動画など複数のメディア形式を組み合わせたもの。
203,0,メーリングリスト,特定のトピックに関心のある人々のグループにメールを一斉送信するためのリスト。
204,0,メールサーバ,電子メールの送受信を管理するサーバ。メールの配送と保管を行う。
205,0,メディア,情報を保存したり伝達したりするための手段や媒体。例えば、電子メディア、印刷メディアなど。
206,0,メディアリテラシー,メディアの内容を批判的に理解し、効果的に使用する能力。情報の質を判断するスキルも含む。
207,0,メモリ,コンピュータでデータやプログラムを一時的に保持するための装置。RAMやROMがこれに該当する。
208,0,文字コード,文字や記号をコンピュータが理解できる数字のコードに変換するシステム。ASCIIやUTF-8などがある。
209,0,モデル化,現実世界のシステムやプロセスを簡略化して表現すること。シミュレーションや分析に用いられる。
210,0,戻り値,関数やメソッドの実行結果として返される値。プログラムの処理結果を受け取るために使われる。
211,0,ユーザID,システムやサービスにおいてユーザを識別するための固有の識別子。
212,0,ユーザインタフェース,ユーザがシステムと対話するためのインタフェース。GUIやCUIが例。
213,0,ユーザエクスペリエンス,製品やサービスを利用するユーザの体験や感覚。利便性や満足度に関連する。
214,0,ユーザビリティ,製品やサービスが使いやすい度合い。使いやすさや親しみやすさを指す。
215,0,ユニコード,世界中の文字を一貫して表現するための国際的な文字コード規格。
216,0,ユニバーサルデザイン,幅広いユーザが使いやすいように設計されたデザイン。アクセシビリティを重視する。
217,0,ラスタデータ,ピクセルのグリッドとして表される画像データ。ビットマップ画像がこれにあたる。
218,0,乱数,予測不可能な数字のシーケンス。プログラミングや暗号化で使用される。
219,0,リスト,データの集合を順序付けて格納するデータ構造。配列やリンクリストが例。
220,0,リモートセンシング,対象物に直接触れることなく遠隔地から情報を収集する技術。衛星画像の分析などに用いられる。
221,0,量子化,アナログ信号をデジタル信号に変換する際に、連続する値を離散的な値に変換するプロセス。
222,0,量子化ビット数,デジタル信号に変換する際に、どの程度の精度で量子化を行うかを示すビット数。
223,0,リンク,一つの情報から関連する他の情報への参照。ウェブページにおけるハイパーリンクが一例。
224,0,ルータ,異なるネットワーク間でデータを転送する装置。データの最適な経路を決定する。
225,0,レイヤー,複数の層に分けて情報を管理する概念。グラフィックスソフトウェアでの画像編集や、ネットワークのプロトコル設計に使用される。
226,0,ロゴタイプ,特定の団体や製品を象徴する固有の文字デザイン。
227,0,論理演算,AND、OR、 NOTなどの演算子を用いて真偽値を計算する操作。プログラミングや論理回路で使用される。
228,0,論理回路,論理演算を行う電子回路。コンピュータのCPUなどに使用される基本的な回路。
229,0,ワードプロセッサ,文書を作成、編集するためのソフトウェア。Microsoft Wordが有名な例。
230,0,ワーム,自己複製機能を持ち、ネットワークを介して拡散するコンピュータウイルスの一種。
231,0,ワールドワイドウェブ,インターネット上で情報をリンクしてアクセスするシステム。ウェブとも呼ばれる。
232,0,ワンクリック詐欺,ユーザーが気づかないうちに契約や購入をさせる詐欺手法。ウェブ上での不当な誘導が典型例。
233,0,QRコード,二次元バーコードの一種で、高速で読み取り可能な情報の格納方法。URLや連絡先情報などを含むことができる。
234,0,SMTP,シンプルメール転送プロトコルの略で、インターネットを介して電子メールを送信する際のプロトコル。
235,0,SNS,ソーシャルネットワーキングサービスの略で、人々がオンラインでコミュニケーションを取るためのプラットフォーム。
236,0,TCP/IP,インターネットプロトコルスイートの核となる通信プロトコルで、インターネット上でデータの送受信を行う際の基本規格。
237,0,URL,統一資源位置指定子の略で、インターネット上のリソースの場所を指定するためのアドレス。
238,0,USBメモリ,ユニバーサルシリアルバスメモリの略で、小型のプラグアンドプレイ式ポータブルストレージデバイス。
239,0,VDT障害,ビデオディスプレイターミナル障害の略で、長時間のコンピュータ使用による健康問題。
240,0,W3C,ワールドワイドウェブコンソーシアムの略で、ウェブに関する標準規格を策定する国際的な団体。
241,0,WAN,ワイドエリアネットワークの略で、広範囲にわたるネットワークのこと。国や大陸を跨ぐ通信を可能にする。
242,0,Webサーバ,ウェブページやその他のウェブコンテンツをクライアントに提供するコンピュータシステム。
243,0,Webサイト,インターネット上で関連するウェブページの集合体で、特定のドメイン名の下でアクセスされる。
244,0,Webページ,ウェブサイトを構成する個々の文書で、HTMLによって記述され、ブラウザで閲覧される。
245,0,Wi-Fi,無線LANの一般的な名称で、無線でインターネットに接続するための技術。
246,0,WWW,ワールドワイドウェブの略で、インターネット上で情報を文書として公開し、リンクで繋がるシステム。
247,0,アイコン,コンピュータの画面上でアプリケーションやファイルなどを象徴する小さな画像。
248,0,アクセシビリティ,情報技術が提供するサービスや製品が、障害を持つ人々にも利用しやすいことを指す。
249,0,アクセスポイント,無線LANの通信範囲を提供する装置。Wi-Fiネットワークにデバイスを接続するために使用される。
250,0,アクティビティ図,UMLの一部で、プロセスやワークフローの動的な側面をモデリングするために使用される図。
251,0,圧縮,データサイズを小さくするプロセス。ストレージ効率を向上させたり、送信時間を短縮するために用いられる。
252,0,アナログデータ,連続的な値で表されるデータ。自然界の音や光などは元々アナログであり、そのままの形で処理されることもある。
253,0,アルゴリズム,問題を解決するための手順やルールの集まり。効率的な計算手順を指し、プログラミングの基本となる。
254,0,アンケート,意見や感想、情報などを集めるために多くの人々に質問し回答を得る方法。
255,0,暗号化,データを第三者に読まれないように変換するセキュリティ技術。不正アクセスから情報を保護するために用いられる。
256,0,一次情報,直接の経験や実験、調査などから得られる初手の情報。原始データとも呼ばれる。
257,0,イメージスキャナ,紙の文書や写真などをデジタル情報に変換するための機器。OCRソフトウェアと組み合わせてテキスト認識にも用いられる。
258,0,インターネット,世界中のコンピュータネットワークが互いに接続された巨大なネットワーク。情報の共有や通信に利用される。
259,0,インタラクティブ,ユーザーの入力に応じてコンピュータがリアルタイムで反応すること。対話的なシステムやアプリケーションの特徴。
260,0,引用,他の著作物からの言葉や文を正確に抜粋し、それを自分の著作物の中で使用すること。出典を明示する必要がある。
261,0,ウィキ,利用者自身がオンラインで内容を編集できるウェブサイト。協同作業による情報の集積が行われる。
262,0,ウイルス対策ソフトウェア,コンピュータウイルスからシステムを保護するためのプログラム。定期的なスキャンやリアルタイム保護機能を提供する。
263,0,絵コンテ,映像作品を制作する際に、シーンやカットの流れを視覚的に表現したもの。プロットや演出を計画する際に用いられる。
264,0,炎上,インターネット上での発言や行動が大きな批判を受け、社会的な非難を浴びること。多くの場合、炎上はコントロールが難しくなる。
265,0,応用ソフトウェア,特定の作業や目的のために設計されたソフトウェア。ワープロソフトや表計算ソフトなどが含まれる。
266,0,回線交換方式,通信の際に物理的な通信回路を確立する方式。電話網で使われる伝統的な通信方式。
267,0,解像度,画像やディスプレイの詳細度を決定する指標。ピクセル数で表されることが多い。
268,0,階調,画像や映像における色や明るさの段階。階調が多いほど、より滑らかな色の変化を表現できる。
269,0,顔文字,感情を表すために文字や記号を組み合わせて作られるアスキーアート。例えば、(^_^)は笑顔を表す。
270,0,可逆圧縮,元のデータを完全に復元できるデータ圧縮方式。ファイルを小さくするが、元の品質を保持する。
271,0,架空請求,実際には発生していないサービスや商品の代金を請求する詐欺行為。インターネット上で頻繁に発生する。
272,0,拡張子,ファイル名の最後に付けられる、ファイル形式を識別するための短い文字列。例：.txt、.jpg、.exeなど。
273,0,画素,デジタル画像を構成する最小の単位で、ピクセルとも呼ばれる。色と明るさの情報を持つ。
274,0,画像処理ソフトウェア,デジタル画像の編集や改善、変換を行うためのソフトウェア。フォトレタッチや画像合成などの機能を提供する。
275,0,仮想プライベートネットワーク,インターネット上で構築される仮想的なプライベートネットワーク。データの暗号化を行い安全な通信を確立する。
276,0,加法混色,光の三原色（赤、綠、青）を加え合わせて色を作る方法。ディスプレイなどで用いられる。
277,0,カラーバリアフリー,色覚に障害がある人でも情報を得やすいように工夫されたデザインのこと。
278,0,関係データベース,データを表形式で管理するデータベースの一種。行と列でデータを整理し、SQLなどの言語で操作する。
279,0,関数,入力に対して定められた処理を行い、結果を出力する一連の処理。プログラミングにおいては特定のタスクを実行するコードの集まりを指す。
280,0,キーワード検索,特定のキーワードをもとに情報を検索する方法。ウェブ検索エンジンなどで用いられる。
281,0,記憶装置,データを保存するための装置。ハードディスクやSSD、USBメモリなどがこれにあたる。
282,0,機械語,コンピュータのCPUが直接理解できる言語。二進数で表される。
283,0,機種依存文字,特定のコンピュータやソフトウェアでのみ正しく表示や処理が可能な文字。互換性に欠ける。
